district,state,year,name,party_name,incumbent,winner
Cuddalore,Tamil Nadu,1998,DHAMOTHARAN M.C.,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,0,1
Davangere,Karnataka,1999,BASAVARAJ,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,0,0
Dharmapuri,Tamil Nadu,1998,MUNUSAMY K.P.,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,0,1
Dindigul,Tamil Nadu,1996,KUMARASAMY .P,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,0,0
Erode,Tamil Nadu,1996,NARAYANAN P.G,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,0,0
Kanchipuram,Tamil Nadu,1998,"VENUGOPAL, K.",ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,0,1
Karur,Tamil Nadu,1996,THAMBIDURAI.M,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,0,0
Mysore,Karnataka,1999,M AMJATH KHAN,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,0,0
Nagapattinam,Tamil Nadu,1998,"GOPAL, DR. K.",ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,0,0
Namakkal,Tamil Nadu,1996,KUMARASAMY A.V.,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,0,0
North Arcot,Tamil Nadu,1998,GOPAL C,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,0,1
Perambalur,Tamil Nadu,1998,"RAJARETHINAM, P",ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,0,1
Pondicherry,Pondicherry,1998,LUCKY R. PERUMAL @KALIAPERUMAL,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,0,0
Pudukkottai,Tamil Nadu,1998,"PARAMASIVAM, RAJA",ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,0,1
Ramanathapuram,Tamil Nadu,1998,"SATHIAMOORTHY, V.",ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,0,1
Salem,Tamil Nadu,1999,"SELVAGANAPATHI, T.M.",ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,0,1
Sivaganga,Tamil Nadu,1998,"KALIMUTHU, K.",ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,0,0
Thanjavur,Tamil Nadu,1999,THANGAMUTHU.K,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,0,0
Theni,Tamil Nadu,1996,RAMASAMY R,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,0,0
Thoothukudi,Tamil Nadu,1998,RAMARAAJAN,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,0,1
Tirunelveli,Tamil Nadu,1996,RAJASELVAM A.R.,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,0,0
Virudhunagar,Tamil Nadu,1996,SANJAY RAMASAMY,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,0,0
Amritsar,Punjab,1967,R. SINGH,AKALI DAL - SANT FATEH SINGH GROUP,0,0
Bathinda,Punjab,1967,K. SINGH,AKALI DAL - SANT FATEH SINGH GROUP,0,1
Firozpur,Punjab,1967,S. SINGH,AKALI DAL - SANT FATEH SINGH GROUP,0,1
Gurdaspur,Punjab,1967,H. SINGH,AKALI DAL - SANT FATEH SINGH GROUP,0,0
Ludhiana,Punjab,1967,M. SINGH,AKALI DAL - SANT FATEH SINGH GROUP,0,0
Rupnagar,Punjab,1967,B. SINGH,AKALI DAL - SANT FATEH SINGH GROUP,0,0
Sangrur,Punjab,1967,N. KAUR,AKALI DAL - SANT FATEH SINGH GROUP,0,1
Autonomous District,Assam,1991,NIGAMANANDA MAITHAR,Assam Gana Parishad,0,0
Barpeta,Assam,1991,ATAUR RAHAMAN,Assam Gana Parishad,0,0
Cachar,Assam,1991,SAHIDUL ALOM CHOUDHURY,Assam Gana Parishad,0,0
Darrang,Assam,1991,BIRENDRA PRASAD BAISHYA,Assam Gana Parishad,0,0
Dhubri,Assam,1991,DEBENDRA DAS,Assam Gana Parishad,0,0
Jorhat,Assam,1991,PARAGEHAR CHALIHA,Assam Gana Parishad,0,0
Kamrup Metropolitan,Assam,1991,JONARDAN BEZBARUA,Assam Gana Parishad,0,0
Karimganj,Assam,1991,NARAYAN CHANDRA DAS,Assam Gana Parishad,0,0
Kokrajhar,Assam,1991,BIRENDRA CHANDRA BORO,Assam Gana Parishad,0,0
Lakhimpur and Dibrugarh,Assam,1991,DIPEN TANTI,Assam Gana Parishad,0,0
Nagaon,Assam,1991,DEBESWAR BORA,Assam Gana Parishad,0,0
Sonitpur,Assam,1991,PURNA NARAYAN SINHA,Assam Gana Parishad,0,0
Lucknow,Uttar Pradesh,1998,INDRA DEO SINGH,AGRAJAN PARTY,0,0
New Delhi,Delhi,1998,RAVINDER KUMAR VERMA,AGRAJAN PARTY,0,0
Jaipur,Rajasthan,1991,ANAND SHARMA,Azad Hind Fauz (Rajkiya),0,0
Mahesana,Gujarat,1991,DILIPKUMAR CHIMANLAL RAVAL,Azad Hind Fauz (Rajkiya),0,0
Mumbai City,Maharashtra,1991,SUBEDAR P.S. ASERKAR,Azad Hind Fauz (Rajkiya),0,0
Patan,Gujarat,1991,PRAHLADBHAI HARGOVINDBHAI VANKAR,Azad Hind Fauz (Rajkiya),0,0
Vadodara,Gujarat,1991,SURESHBHAI CHATURBHAI PATEL,Azad Hind Fauz (Rajkiya),0,0
Autonomous District,Assam,1967,G. G. SWELL,ALL PARTY HILL LEADERS CONFERENCE,0,1
West Garo Hills,Meghalaya,1980,GROHONSING MARAK,ALL PARTY HILL LEADERS CONFERENCE,0,0
New Delhi,Delhi,1996,BARARAT ALI,ALL INDIA AZAD HIND MAZDUR & JAN KALYAN PARTY,0,0
Chennai,Tamil Nadu,1996,HARIHARAN P.P.R,ALL INDIA DEMOCRATIC PEOPLE FEDERATION,0,0
Jalandhar,Punjab,1999,JAGDISH  MEHMI,ALL INDIA GAREEB CONGRESS,0,0
Ludhiana,Punjab,1998,BALWINDERJEET SINGH,ALL INDIA GAREEB CONGRESS,0,0
Anantnag,Jammu & Kashmir,1998,MOHD. AKBAR,All India Indira Congress (Secular),0,0
"Darbhanga, Samastipur, and Madhubani",Bihar,1998,SYED SOHALI AHMED NOMANI,All India Indira Congress (Secular),0,0
Jhunjhunu,Rajasthan,1998,SISRAM OLA,All India Indira Congress (Secular),0,1
Kolkata,West Bengal,1998,ABDUL SAMAD SARDAR,All India Indira Congress (Secular),0,0
Kurukshetra,Haryana,1998,HAWA SINGH,All India Indira Congress (Secular),0,0
New Delhi,Delhi,1998,MOHAMMAD YUNUS,All India Indira Congress (Secular),0,0
Patna and Nalanda,Bihar,1998,MOHAMMAD PARWEJ,All India Indira Congress (Secular),0,0
"Saran, Siwan, and Gopalganj",Bihar,1998,UDAI PRATAP SINGH,All India Indira Congress (Secular),0,0
Tehri Garhwal,Uttaranchal,1998,SATPAL MAHARAJ,All India Indira Congress (Secular),1,0
Agra,Uttar Pradesh,1996,RAM BABU,All India Indira Congress (Tiwari),0,0
Ahmedabad,Gujarat,1996,PIRUBHAI MANSURI,All India Indira Congress (Tiwari),0,0
Ahmednagar,Maharashtra,1996,ASHTEKAR PRAMOD NILKANTH,All India Indira Congress (Tiwari),0,0
Ajmer,Rajasthan,1996,SATYAKISHORE SAXENA,All India Indira Congress (Tiwari),0,0
Aligarh,Uttar Pradesh,1996,ASHOK KUMAR,All India Indira Congress (Tiwari),0,0
Allahabad,Uttar Pradesh,1996,RAKESH NARAYAN HAJELA,All India Indira Congress (Tiwari),0,0
Almora,Uttaranchal,1996,BALAM SINGH JANOTI,All India Indira Congress (Tiwari),0,0
Alwar,Rajasthan,1996,INDIRA MAYARAM,All India Indira Congress (Tiwari),0,0
Ambala,Haryana,1996,S.C.DHOSIWAL,All India Indira Congress (Tiwari),0,0
Ambedkar Nagar,Uttar Pradesh,1996,RAM PYARE SUMAN,All India Indira Congress (Tiwari),0,0
Amravati,Maharashtra,1996,PATEL RAMU MHATANG,All India Indira Congress (Tiwari),0,0
Amritsar,Punjab,1996,SANKATHA PRASHAD SHASTRI,All India Indira Congress (Tiwari),0,0
Anantnag,Jammu & Kashmir,1996,MOHAMAD AKBAR,All India Indira Congress (Tiwari),0,0
Azamgarh,Uttar Pradesh,1996,AKBAR AHMAD DUMPY,All India Indira Congress (Tiwari),0,0
Bagalkot,Karnataka,1996,SUBHASH T. PATIL,All India Indira Congress (Tiwari),0,0
Baghpat,Uttar Pradesh,1996,RISHIPAL,All India Indira Congress (Tiwari),0,0
Bahraich,Uttar Pradesh,1996,AHTISHAMVALI KHAN,All India Indira Congress (Tiwari),0,0
Balangir,Orissa,1996,SUNIL KUMAR MISHRA,All India Indira Congress (Tiwari),0,0
Balasore,Orissa,1996,JUGAL PATTANAIK,All India Indira Congress (Tiwari),0,0
Balrampur,Uttar Pradesh,1996,DEVIDAYAL TIWARI,All India Indira Congress (Tiwari),0,0
Banaskantha,Gujarat,1996,KESAJI SHIVAJI CHAUHAN,All India Indira Congress (Tiwari),0,0
Banda,Uttar Pradesh,1996,DEV KUMAR,All India Indira Congress (Tiwari),0,0
Banka,Bihar,1996,AMBUJ KISHOR JHA,All India Indira Congress (Tiwari),0,0
Barabanki,Uttar Pradesh,1996,KAMLA PRASAD,All India Indira Congress (Tiwari),1,0
Bardhaman,West Bengal,1996,KISHORE CHATTERJEE,All India Indira Congress (Tiwari),0,0
Bareilly,Uttar Pradesh,1996,SANTHOSH KUMARI PATHAK,All India Indira Congress (Tiwari),0,0
Barpeta,Assam,1996,ABDUL HAMID,All India Indira Congress (Tiwari),0,0
Bastar,Chhattisgarh,1996,GANGA POTAI,All India Indira Congress (Tiwari),0,0
Basti,Uttar Pradesh,1996,RAJ KUMAR S/O HIRA,All India Indira Congress (Tiwari),0,0
Belgaum,Karnataka,1996,NAGNUR MUGUTASAB NABISAB,All India Indira Congress (Tiwari),0,0
Betul,Madhya Pradesh,1996,VISHNU RAJORIYA,All India Indira Congress (Tiwari),0,0
Bhagalpur,Bihar,1996,ONKAR PD. RAM,All India Indira Congress (Tiwari),0,0
Bharatpur,Rajasthan,1996,K. NATWAR SINGH,All India Indira Congress (Tiwari),0,0
Bharuch,Gujarat,1996,CHAUDHARY BABUBHAI VANJIBHAI,All India Indira Congress (Tiwari),0,0
Bhilwara,Rajasthan,1996,SHIV CHARAN,All India Indira Congress (Tiwari),0,0
Bhimnagar,Uttar Pradesh,1996,IQTDAR HUSAIN,All India Indira Congress (Tiwari),0,0
Bhind,Madhya Pradesh,1996,RAJESH SINGH BHADORIA,All India Indira Congress (Tiwari),0,0
Bhiwani,Haryana,1996,BHOLA RAM,All India Indira Congress (Tiwari),0,0
Bhojpur and Rohtas,Bihar,1996,SHYAM VIHARI SINGH,All India Indira Congress (Tiwari),0,0
Bidar,Karnataka,1996,NARASING HULLA SURYAVANSHI,All India Indira Congress (Tiwari),0,0
Bijapur,Karnataka,1996,PUNEKAR SHAMSUDDIN ABDULLA,All India Indira Congress (Tiwari),0,0
Bijnor,Uttar Pradesh,1996,ASHA CHOUDHARY,All India Indira Congress (Tiwari),0,0
Bilaspur,Chhattisgarh,1996,BANSHI LAL,All India Indira Congress (Tiwari),0,0
Budaun,Uttar Pradesh,1996,SHASHI LATA CHAUHAN,All India Indira Congress (Tiwari),0,0
Bulandshahr,Uttar Pradesh,1996,TRILOK CHAND,All India Indira Congress (Tiwari),0,0
Buldhana,Maharashtra,1996,MORE GULABRAO KUNDLIK,All India Indira Congress (Tiwari),0,0
Buxar,Bihar,1996,SARAYU UPADHYA,All India Indira Congress (Tiwari),0,0
Cachar,Assam,1996,LAL MOHAN DUSHAD,All India Indira Congress (Tiwari),0,0
Champaran,Bihar,1996,RAM BABU KUMAR,All India Indira Congress (Tiwari),0,0
Chandauli,Uttar Pradesh,1996,AMAR BAHADUR SINGH,All India Indira Congress (Tiwari),0,0
Chandigarh,Chandigarh,1996,VISHWAVIR SHARMA,All India Indira Congress (Tiwari),0,0
Chandrapur,Maharashtra,1996,DADMAL PRABHAKAR MAHAGUJI,All India Indira Congress (Tiwari),0,0
Chatra,Bihar,1996,JUBAIR AHMAD KHAN,All India Indira Congress (Tiwari),0,0
Chhatrapati Shahuji Maharaj Nagar,Uttar Pradesh,1996,SHIVNARAYAN MISHRA,All India Indira Congress (Tiwari),0,0
Chikkamagaluru,Karnataka,1996,MARGADA MALLAPPA,All India Indira Congress (Tiwari),0,0
Chittaurgarh,Rajasthan,1996,NIRMALA KUMARI,All India Indira Congress (Tiwari),0,0
Chittoor,Andhra Pradesh,1996,M. JAYARAMAIAH,All India Indira Congress (Tiwari),0,0
Churu,Rajasthan,1996,JAI SINGH RATHORE,All India Indira Congress (Tiwari),0,0
Cuddalore,Tamil Nadu,1996,KALIA PERUMAL P.P,All India Indira Congress (Tiwari),0,0
Dadra & Nagar Haveli,Dadra & Nagar Haveli,1996,BHIMRA BHIKHUBHAI VANSHABHAI,All India Indira Congress (Tiwari),0,0
Dahod,Gujarat,1996,NISARATA CHHAGANBHAI DHIRABHAI,All India Indira Congress (Tiwari),0,0
Damoh,Madhya Pradesh,1996,RAJ BAHADUR SINGH,All India Indira Congress (Tiwari),0,0
"Darbhanga, Samastipur, and Madhubani",Bihar,1996,VIJAY KUMAR,All India Indira Congress (Tiwari),0,0
Darrang,Assam,1996,JIBAN BARUAH,All India Indira Congress (Tiwari),0,0
Dausa,Rajasthan,1996,MAHENDRA KUMAR JOSHI,All India Indira Congress (Tiwari),0,0
Deogarh,Bihar,1996,PRADIP DEO,All India Indira Congress (Tiwari),0,0
Deoria,Uttar Pradesh,1996,SHASHEE SHARMA,All India Indira Congress (Tiwari),0,0
Dhanbad,Bihar,1996,SUKLAL MAHTO,All India Indira Congress (Tiwari),0,0
Dhar,Madhya Pradesh,1996,GOVERDHANSINH MUKATI,All India Indira Congress (Tiwari),0,0
Dharmapuri,Tamil Nadu,1996,RAMAMURTHY.K,All India Indira Congress (Tiwari),0,0
Dhubri,Assam,1996,KAZI ABUL HUSSAIN,All India Indira Congress (Tiwari),0,0
Dhule,Maharashtra,1996,KASHINATH NARAYAN BAHIRAM,All India Indira Congress (Tiwari),0,0
East Godavari,Andhra Pradesh,1996,C. SUBHASH,All India Indira Congress (Tiwari),0,0
East Nimar,Madhya Pradesh,1996,SALIM PATEL HAZI HASHAM,All India Indira Congress (Tiwari),0,0
East Singhbhum,Bihar,1996,SANATAN SARDAR,All India Indira Congress (Tiwari),0,0
Etah,Uttar Pradesh,1996,LODHI RADHEYSHYAM VERMA,All India Indira Congress (Tiwari),0,0
Etawah,Uttar Pradesh,1996,JAGGAN QUARESHI,All India Indira Congress (Tiwari),0,0
Faizabad,Uttar Pradesh,1996,RAM PRAGAT DUBEY,All India Indira Congress (Tiwari),0,0
Farrukhabad,Uttar Pradesh,1996,PRATIMA CHATURVEDI,All India Indira Congress (Tiwari),0,0
Fatehpur,Uttar Pradesh,1996,SALLAUDIN ALIAS NABBAN,All India Indira Congress (Tiwari),0,0
Firozabad,Uttar Pradesh,1996,MUKESH,All India Indira Congress (Tiwari),0,0
Gandhinagar,Gujarat,1996,PATNI LAXMANBHAI FULJIBHAI,All India Indira Congress (Tiwari),0,0
"Gaya, Nawada, and Aurangabad",Bihar,1996,RANJAN KUMAR SINGH,All India Indira Congress (Tiwari),0,0
Ghazipur,Uttar Pradesh,1996,DINNA NATH,All India Indira Congress (Tiwari),0,0
Giridih,Bihar,1996,SHIV ASISH CHAUBEY,All India Indira Congress (Tiwari),0,0
Gorakhpur,Uttar Pradesh,1996,RAM SURAT PRASHAD,All India Indira Congress (Tiwari),0,0
Guna,Madhya Pradesh,1996,SARDAR SINGH RAGHUWANSHI,All India Indira Congress (Tiwari),0,0
Guntur,Andhra Pradesh,1996,FIROJ GANDHI PATTAN,All India Indira Congress (Tiwari),0,0
Gurdaspur,Punjab,1996,ASHWANI KUMAR,All India Indira Congress (Tiwari),0,0
Gurgaon and Faridabad,Haryana,1996,RATI RAM S/O.AMMI,All India Indira Congress (Tiwari),0,0
Hardoi,Uttar Pradesh,1996,MITAN PRASAD,All India Indira Congress (Tiwari),0,0
Haridwar,Uttaranchal,1996,DAL CHANDER CHACHAR,All India Indira Congress (Tiwari),0,0
Hathras,Uttar Pradesh,1996,PURAN CHAND,All India Indira Congress (Tiwari),0,0
Hazaribagh,Bihar,1996,NAND LAL SINGH,All India Indira Congress (Tiwari),0,0
Hisar,Haryana,1996,VIJAY KUMAR,All India Indira Congress (Tiwari),0,0
Hooghly,West Bengal,1996,SWARAJ MUKHOPADHYAY,All India Indira Congress (Tiwari),0,0
Hoshangabad,Madhya Pradesh,1996,NAGEEN KOCHAR,All India Indira Congress (Tiwari),0,0
Hoshiarpur,Punjab,1996,SHIV DUTT BALI,All India Indira Congress (Tiwari),0,0
Hyderabad,Andhra Pradesh,1996,AZHAR SHARIF,All India Indira Congress (Tiwari),0,0
Indore,Madhya Pradesh,1996,ANIL LALBHADUR,All India Indira Congress (Tiwari),0,0
Inner Manipur,Manipur,1996,ANNIE MANGSATABAM,All India Indira Congress (Tiwari),0,0
Jabalpur,Madhya Pradesh,1996,CHANDRIKA PRASAD TRIPATHI,All India Indira Congress (Tiwari),0,0
Jalandhar,Punjab,1996,MANDEEP NANDA,All India Indira Congress (Tiwari),0,0
Jalaun,Uttar Pradesh,1996,CHARAN SINGH,All India Indira Congress (Tiwari),0,0
Jalgaon,Maharashtra,1996,RATHOD BABUSING DAGADUSING,All India Indira Congress (Tiwari),0,0
Jalore,Rajasthan,1996,ANARAM,All India Indira Congress (Tiwari),0,0
Jammu,Jammu & Kashmir,1996,ANIL SAWHNEY,All India Indira Congress (Tiwari),0,0
Janjgir-Champa,Chhattisgarh,1996,BODH RAM,All India Indira Congress (Tiwari),0,0
Jaunpur,Uttar Pradesh,1996,ARUN KUMAR SINGH MUNNA S/O PRATAP,All India Indira Congress (Tiwari),0,0
Jehanabad,Bihar,1996,MD. KHAN ALI,All India Indira Congress (Tiwari),0,0
Jhabua,Madhya Pradesh,1996,PRABHUDAYAL GHEHALOT,All India Indira Congress (Tiwari),0,0
Jhalawar,Rajasthan,1996,NAFIS AHAMED KHAN,All India Indira Congress (Tiwari),0,0
Jhansi,Uttar Pradesh,1996,NARAYAN DUTT TIWARI,All India Indira Congress (Tiwari),0,0
Jhunjhunu,Rajasthan,1996,SHEES RAM OLA,All India Indira Congress (Tiwari),0,1
Jodhpur,Rajasthan,1996,RAM GOPAL,All India Indira Congress (Tiwari),0,0
Jorhat,Assam,1996,BANDANA RAJKUMARI,All India Indira Congress (Tiwari),0,0
Jyotiba Phule Nagar,Uttar Pradesh,1996,D.H ANSARI,All India Indira Congress (Tiwari),0,0
Kachchh,Gujarat,1996,AMRUTLAL ICHCHHUBHAI PATEL,All India Indira Congress (Tiwari),0,0
Kalahandi,Orissa,1996,SANTOSH KUMAR ACHARYA,All India Indira Congress (Tiwari),0,0
Kamrup Metropolitan,Assam,1996,JIBAN DAS,All India Indira Congress (Tiwari),0,0
Kanchipuram,Tamil Nadu,1996,DAMODARAN.B,All India Indira Congress (Tiwari),0,0
"Kangra, Hamirpur, and Una",Himachal Pradesh,1996,RAM GOPAL SHARMA,All India Indira Congress (Tiwari),0,0
Kanker,Chhattisgarh,1996,JHUMUKLAL VHENDIA,All India Indira Congress (Tiwari),0,0
Kannauj,Uttar Pradesh,1996,RAVINDRA SINGH,All India Indira Congress (Tiwari),0,0
Kanpur Nagar,Uttar Pradesh,1996,PRATAP TRIVEDI,All India Indira Congress (Tiwari),0,0
Kanyakumari,Tamil Nadu,1996,LAWRANCE A.,All India Indira Congress (Tiwari),0,0
Karimganj,Assam,1996,U C DAS,All India Indira Congress (Tiwari),0,0
Karnal,Haryana,1996,SHAMSHER SINGH GOGI,All India Indira Congress (Tiwari),0,0
Khagaria,Bihar,1996,CHANDRASHEKHAR  VERMA,All India Indira Congress (Tiwari),0,0
Khammam,Andhra Pradesh,1996,B.A TILAK,All India Indira Congress (Tiwari),0,0
Kheda,Gujarat,1996,THAKOR SHIVSINH NATHUSINH,All India Indira Congress (Tiwari),0,0
Khordha,Orissa,1996,CHINTAMANI PANIGRAHI,All India Indira Congress (Tiwari),1,0
Kolar,Karnataka,1996,K C RAJARAM REDDY,All India Indira Congress (Tiwari),0,0
Kolkata,West Bengal,1996,YASMEEN SEN GUPTA,All India Indira Congress (Tiwari),0,0
Koraput,Orissa,1996,PROBHUDAN BHATARA,All India Indira Congress (Tiwari),0,0
Kota,Rajasthan,1996,DHANNA LAL SUMAN,All India Indira Congress (Tiwari),0,0
Krishna,Andhra Pradesh,1996,SAMBASIVA RAO KAVURI,All India Indira Congress (Tiwari),0,0
Kurnool,Andhra Pradesh,1996,Y.SIVA RAMI REDDY,All India Indira Congress (Tiwari),0,0
Kurukshetra,Haryana,1996,JAGDEEP SINGH CHEEMA,All India Indira Congress (Tiwari),0,0
Lakhimpur Kheri,Uttar Pradesh,1996,JAFAR ALI NAQVI,All India Indira Congress (Tiwari),0,0
Lakhimpur and Dibrugarh,Assam,1996,NARENDRA NATH GOHAIN,All India Indira Congress (Tiwari),0,0
Latur,Maharashtra,1996,SHIVAJI VITHALRAO NARHARE,All India Indira Congress (Tiwari),0,0
Lucknow,Uttar Pradesh,1996,ACCHEY LAL BALMIKI,All India Indira Congress (Tiwari),0,0
Ludhiana,Punjab,1996,KIRPAL SINGH KALSI,All India Indira Congress (Tiwari),0,0
Madhepura,Bihar,1996,SADAN RAM,All India Indira Congress (Tiwari),0,0
Maharajganj,Uttar Pradesh,1996,HARI SHANKER TIWARI,All India Indira Congress (Tiwari),0,0
Mahasamund,Chhattisgarh,1996,CHANDRIKA SAHU,All India Indira Congress (Tiwari),0,0
Mahbubnagar,Andhra Pradesh,1996,K. HANUMANTHA RAO,All India Indira Congress (Tiwari),0,0
Mahendragarh,Haryana,1996,RAJ DAHIYA,All India Indira Congress (Tiwari),0,0
Mahesana,Gujarat,1996,THAKOR CHUNAJI LAKHAJI,All India Indira Congress (Tiwari),0,0
Mainpuri,Uttar Pradesh,1996,ARYA MAHESH KUMAR SHAKYA ALIAS KAUSH,All India Indira Congress (Tiwari),0,0
Mandi,Himachal Pradesh,1996,CHANDERMANI SHARMA,All India Indira Congress (Tiwari),0,0
Mandla,Madhya Pradesh,1996,MANIKLAL,All India Indira Congress (Tiwari),0,0
Mandsaur,Madhya Pradesh,1996,ARVIND CHOPRA,All India Indira Congress (Tiwari),0,0
Mathura,Uttar Pradesh,1996,SHYAM SUNDER SHARMA,All India Indira Congress (Tiwari),0,0
Mau,Uttar Pradesh,1996,UMESH,All India Indira Congress (Tiwari),0,0
Mayurbhanj,Orissa,1996,NIRMAL BHAGEY,All India Indira Congress (Tiwari),0,0
Medak,Andhra Pradesh,1996,MOHAMMAID IBRAHIM,All India Indira Congress (Tiwari),0,0
Meerut,Uttar Pradesh,1996,N.U. ANSARI,All India Indira Congress (Tiwari),0,0
Mirzapur,Uttar Pradesh,1996,MATA PRASAD,All India Indira Congress (Tiwari),0,0
Moradabad,Uttar Pradesh,1996,VINOD,All India Indira Congress (Tiwari),0,0
Morena,Madhya Pradesh,1996,MUKAT SINGH SAKHWAR,All India Indira Congress (Tiwari),0,0
Mumbai City,Maharashtra,1996,PREMANAND VITHAL AWALE,All India Indira Congress (Tiwari),0,0
Muzaffarnagar,Uttar Pradesh,1996,NEM CHAND,All India Indira Congress (Tiwari),0,0
"Muzaffarpur, Sitamhari, and Vaishali",Bihar,1996,LALITESHWAR PD. SAHI,All India Indira Congress (Tiwari),0,0
Nadia,West Bengal,1996,RANJIT KUMAR BOSE,All India Indira Congress (Tiwari),0,0
Nagaon,Assam,1996,RAMEN DEKA,All India Indira Congress (Tiwari),0,0
Nagaur,Rajasthan,1996,BHANWARLAL RAJPUROHIT,All India Indira Congress (Tiwari),0,0
Nagpur,Maharashtra,1996,SHENDE KESHAO GOVINDRAO,All India Indira Congress (Tiwari),0,0
Nainital,Uttaranchal,1996,NARAYAN DUTT TIWARI,All India Indira Congress (Tiwari),0,1
Nalgonda,Andhra Pradesh,1996,M. ABDUL LATEEF,All India Indira Congress (Tiwari),0,0
Namakkal,Tamil Nadu,1996,K.PERUMAL,All India Indira Congress (Tiwari),0,0
Nanded,Maharashtra,1996,KENDRE PANDHARINATH PUNDALIKRAO,All India Indira Congress (Tiwari),0,0
Nandurbar,Maharashtra,1996,GOVINDRAO RAMU VASAVE,All India Indira Congress (Tiwari),0,0
Nashik,Maharashtra,1996,GHANE RAMCHANDRA BHAGAJI,All India Indira Congress (Tiwari),0,0
New Delhi,Delhi,1996,B.R. TAMTA,All India Indira Congress (Tiwari),0,0
North Arcot,Tamil Nadu,1996,DHANDAYUTHAPANI.V,All India Indira Congress (Tiwari),0,0
Osmanabad,Maharashtra,1996,BHOSLE VINAYAK YADAVRAO,All India Indira Congress (Tiwari),0,0
Outer Manipur,Manipur,1996,S. LORHO,All India Indira Congress (Tiwari),0,0
Palamu,Bihar,1996,BALESHWAR RAM,All India Indira Congress (Tiwari),0,0
Pali,Rajasthan,1996,SUKH LAL SAINCHA,All India Indira Congress (Tiwari),0,0
Panchmahal,Gujarat,1996,PATEL BHULABHAI NARANBHAI,All India Indira Congress (Tiwari),0,0
Patan,Gujarat,1996,DOLATBHAI PARMAR,All India Indira Congress (Tiwari),0,0
Patiala,Punjab,1996,RAM PARTAP,All India Indira Congress (Tiwari),1,0
Patna and Nalanda,Bihar,1996,RAMJI SINGH,All India Indira Congress (Tiwari),0,0
Prakasam,Andhra Pradesh,1996,S. VENKATESH REDDY,All India Indira Congress (Tiwari),0,0
Pratapgarh,Uttar Pradesh,1996,NARENDRA BAHADUR,All India Indira Congress (Tiwari),0,0
Pudukkottai,Tamil Nadu,1996,PUSHPARAJ.T.,All India Indira Congress (Tiwari),0,0
Pune,Maharashtra,1996,NANA BUDHIWANT,All India Indira Congress (Tiwari),0,0
Purnia and Katihar,Bihar,1996,SYED SOHAIL AHMAD NOMANI,All India Indira Congress (Tiwari),0,0
Raebareli,Uttar Pradesh,1996,BRIZ KISHORE,All India Indira Congress (Tiwari),0,0
Raichur,Karnataka,1996,RAJA PANDURANGA NAYAK,All India Indira Congress (Tiwari),0,0
Raigarh,Chhattisgarh,1996,K.P. HARIPRIYA,All India Indira Congress (Tiwari),0,0
Rajgarh,Madhya Pradesh,1996,RAJYAVARDHAN SINGH,All India Indira Congress (Tiwari),0,0
Rajkot,Gujarat,1996,RAVAL RUDRADATTBHAI JIVANLAL,All India Indira Congress (Tiwari),0,0
Rajnandgaon,Chhattisgarh,1996,BALBIR KHANUJA,All India Indira Congress (Tiwari),0,0
Ranchi,Bihar,1996,CHHATRAPATI SHAHI MUNDA,All India Indira Congress (Tiwari),0,0
Ratnagiri,Maharashtra,1996,MANGALA RAMCHANDRA SHINDE,All India Indira Congress (Tiwari),0,0
Sabarkantha,Gujarat,1996,TUNVER BISMILLAKHAN  UMEDKHAN,All India Indira Congress (Tiwari),0,0
Sagar,Madhya Pradesh,1996,UTTAM KHATIK,All India Indira Congress (Tiwari),0,0
Saharsa,Bihar,1996,CHIRANJIV JHA,All India Indira Congress (Tiwari),0,0
Salem,Tamil Nadu,1996,RANGARAJAN KUMARAMANGALAM.P,All India Indira Congress (Tiwari),0,0
Sambalpur,Orissa,1996,NIRMALJEET GULZAR PADHI,All India Indira Congress (Tiwari),0,0
Sangli,Maharashtra,1996,VASANTRAO PANDURANG YADAV,All India Indira Congress (Tiwari),0,0
